sample,group,short_reads_1,short_reads_2,long_reads
L7,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_178/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_178_S90_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_178/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_178_S90_L004_R2_001.fastq.gz,
L1,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_144/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_144_S56_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_144/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_144_S56_L004_R2_001.fastq.gz,
L2,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_158/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_158_S70_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_158/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_158_S70_L004_R2_001.fastq.gz,
L6,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_127/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_127_S39_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_127/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_127_S39_L004_R2_001.fastq.gz,
L6_t.r,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_205/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_205_S109_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_205/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_205_S109_L004_R2_001.fastq.gz,
L5,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_115/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_115_S27_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_115/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_115_S27_L004_R2_001.fastq.gz,
L3,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_203/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_203_S107_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_203/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_203_S107_L004_R2_001.fastq.gz,
L9,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_206/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_206_S110_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_206/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_206_S110_L004_R2_001.fastq.gz,
L4,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_138/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_138_S50_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_138/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_138_S50_L004_R2_001.fastq.gz,
L8,F0_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_132/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_132_S44_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_132/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_132_S44_L004_R2_001.fastq.gz,
