sample,group,short_reads_1,short_reads_2,long_reads
H21,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_108/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_108_S20_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_108/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_108_S20_L004_R2_001.fastq.gz,
H32_t.r,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_211/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_211_S115_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_211/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_211_S115_L004_R2_001.fastq.gz,
H30,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_202/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_202_S106_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_202/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_202_S106_L004_R2_001.fastq.gz,
H28,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_159/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_159_S71_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_159/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_159_S71_L004_R2_001.fastq.gz,
H22,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_151/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_151_S63_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_151/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_151_S63_L004_R2_001.fastq.gz,
H26,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_168/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_168_S80_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_168/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_168_S80_L004_R2_001.fastq.gz,
H33,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_170/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_170_S82_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_170/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_170_S82_L004_R2_001.fastq.gz,
H32,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_175/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_175_S87_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_175/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_175_S87_L004_R2_001.fastq.gz,
H23,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_136/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_136_S48_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_136/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_136_S48_L004_R2_001.fastq.gz,
H31,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_107/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_107_S19_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_107/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_107_S19_L004_R2_001.fastq.gz,
H29,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_204/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_204_S108_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_204/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_204_S108_L004_R2_001.fastq.gz,
H20,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_216/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_216_S120_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_216/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_216_S120_L004_R2_001.fastq.gz,
H24,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_128/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_128_S40_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_128/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_128_S40_L004_R2_001.fastq.gz,
H25,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_215/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_215_S119_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_215/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_215_S119_L004_R2_001.fastq.gz,
H27,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_122/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_122_S34_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_122/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_122_S34_L004_R2_001.fastq.gz,
H34,F2_H,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_177/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_177_S89_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_177/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_177_S89_L004_R2_001.fastq.gz,
