sample,group,short_reads_1,short_reads_2,long_reads
L18,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_119/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_119_S31_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_119/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_119_S31_L004_R2_001.fastq.gz,
L20,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_120/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_120_S32_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_120/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_120_S32_L004_R2_001.fastq.gz,
L24,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_124/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_124_S36_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_124/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_124_S36_L004_R2_001.fastq.gz,
L23,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_129/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_129_S41_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_129/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_129_S41_L004_R2_001.fastq.gz,
L27,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_111/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_111_S23_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_111/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_111_S23_L004_R2_001.fastq.gz,
L25,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_217/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_217_S121_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_217/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_217_S121_L004_R2_001.fastq.gz,
L22,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_157/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_157_S69_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_157/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_157_S69_L004_R2_001.fastq.gz,
L15,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_160/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_160_S72_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_160/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_160_S72_L004_R2_001.fastq.gz,
L16,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_187/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_187_S99_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_187/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_187_S99_L004_R2_001.fastq.gz,
L29,F2_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_104/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_104_S16_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_104/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_104_S16_L004_R2_001.fastq.gz,
